USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
balikpapan6;MIX GT;SF-LTA-02-11004099;BALIKPAPAN6
balikpapan7;MIX GT;SF-LTA-02-11004090;BALIKPAPAN7
tarakan1;TIDAK AKTIF;TIDAK AKTIF;TARAKAN1
pontianak1;TIDAK AKTIF;TIDAK AKTIF;PONTIANAK1
pontianak2;MIX GT;SF-SSJ-01-00002;PONTIANAK2
pontianak3;TIDAK AKTIF;TIDAK AKTIF;PONTIANAK3
pontianak4;MIX GT;SF-SSJ-01-00004;PONTIANAK4
singkawang1;MIX GT;SF-SSJ-02-00006;SINGKAWANG1
sanggau1;MIX GT;SF-SSJ-03-00008;SANGGAU1
ketapang1;MIX GT;SF-SSJ-04-00010;KETAPANG1
putusibau1;MIX GT;SF-SSJ-06-00009;PUTUSIBAU1
banjarmasin1;EXCLUSIVE GT;SF-SJA-01-SSJ-00104;BANJARMASIN1
banjarmasin2;MIX GT;#N/A;BANJARMASIN2
banjarmasin3;MIX GT;#N/A;BANJARMASIN3
banjarmasin4;EXCLUSIVE MT-GT;SF-SJA-01-SSJ-00103;BANJARMASIN4
batulicin1;EXCLUSIVE GT;SF-SJA-02-SSJ-00105;BATULICIN1
batulicin2;MIX GT;SF-SJA-02-SSJ-00096;BATULICIN2
barabai1;MIX GT;SF-SJA-04-SSJ-00136;BARABAI1
barabai2;MIX GT;SF-SJA-03-SSJ-00058;BARABAI2
barabai3;MIX GT;SF-SJA-03-SSJ-00020;BARABAI3
palangkaraya1;MIX GT;SF-BC-02-BHG1533;PALANGKARAYA1
palangkaraya2;MIX GT;SF-BC-02-BHG1714;PALANGKARAYA2
sampit1;MIX GT;SF-BC-03-BHG1646;SAMPIT1
sampit2;MIX GT;SF-BC-03-BHG1999;SAMPIT2
pangakalanbun1;MIX GT;#N/A;PANGAKALANBUN1
pangakalanbun2;MIX GT;SF-BC-01-BHG3212;PANGAKALANBUN2
serang4;TIDAK AKTIF;TIDAK AKTIF;SERANG4
serang5;MIX GT;SF-MJP02SRG-SLM012;SERANG5
medan16;TIDAK AKTIF;TIDAK AKTIF;MEDAN16
semarang19;MIX GT;SF-IAI006-AGU;SEMARANG19
semarang20;MIX GT;SF-IAI006-ZAH;SEMARANG20
tgrlegok7;MIX GT;SF-MJP03-SLM014;TGRLEGOK7
jakartatimur10;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR10
jakartatimur11;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR11
jakartatimur12;EXCLUSIVE GT;SF-DAS-0304TO063;JAKARTATIMUR12
jakartatimur13;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR13
jakartatimur14;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR14
jakartatimur15;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR15
pangakalanbun3;TIDAK AKTIF;TIDAK AKTIF;PANGAKALANBUN3
pontianak5;MIX GT;SF-SSJ-01-00003;PONTIANAK5
tgrpskemis7;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS7
karawang5;MIX GT;SF-KIS-300;KARAWANG5
malang5;EXCLUSIVE MT-GT;SF-UDN024-030;MALANG5
purwokerto17;MIX GT;SF-IAI006-NAH;PURWOKERTO17
subang3;TIDAK AKTIF;TIDAK AKTIF;SUBANG3
lenteng7;MIX GT;SF-MJP01JK1-SLM011;LENTENG7
medan17;TIDAK AKTIF;TIDAK AKTIF;MEDAN17
medan18;MIX GT;SF-ITK012-18;MEDAN18
palembang6;TIDAK AKTIF;TIDAK AKTIF;PALEMBANG6
semarang21;MIX GT;SF-IAI006-GHO;SEMARANG21
kamal7;TIDAK AKTIF;TIDAK AKTIF;KAMAL7
pontianak6;TIDAK AKTIF;TIDAK AKTIF;PONTIANAK6
rangkasbitung4;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG4
rangkasbitung5;MIX GT;SF-MJP02RKB-SLM003;RANGKASBITUNG5
ponorogo4;MIX GT;SF-UDN027-014;PONOROGO4
tulungagung5;MIX GT;SF-UDN025-024;TULUNGAGUNG5
yogyakarta19;TIDAK AKTIF;TIDAK AKTIF;YOGYAKARTA19
semarang22;TIDAK AKTIF;TIDAK AKTIF;SEMARANG22
bogor8;EXCLUSIVE GT;SF-IPSB-0201TO090;BOGOR8
pekanbaru16;EXCLUSIVE MT-GT;SF-PKU001-403;PEKANBARU16
bandung7;TIDAK AKTIF;TIDAK AKTIF;BANDUNG7
pondokaren4;TIDAK AKTIF;TIDAK AKTIF;PONDOKAREN4
serang6;MIX GT;SF-MJP02SRG-SLM008;SERANG6
solo8;MIX GT;SF-CVM005-SRI;SOLO8
